id,user_id,title,description,taxonomy,amount,currency,reservado,envio,url_completa,ciudad
pj9mp358kv6e,kmzn87ep2yzn,NUEVO SHIMANO DEORE SL-M6000 Ispec II 10V Pulsador,"NUEVO SHIMANO DEORE SL-M6000 I-spec II 10 Velocidades. Pusador mando de cambio derecho. Trasero . Trigger .La maneta de cambio SL-M6000 I de SHIMANO DEORE ofrece un cambio y ligero y buena capacidad de respuesta para todos los estilos de ciclismo de montaña.

","[{'id': 17000, 'name': 'Bikes', 'icon': 'bike'}, {'id': 10058, 'name': 'Bike components & spare parts', 'icon': None}, {'id': 10224, 'name': 'Components', 'icon': None}]",15,EUR,False,True,https://es.wallapop.com/item/nuevo-shimano-deore-sl-m6000-ispec-ii-10v-pulsador-1090284513,Madrid
xzo24vlyy469,wzynryvx8xj5,Giant Anthem 2 talla M,"Giant Anthem 2<br> | Talla: M | Material: Aluminio | Frenos:Shimano BR-MT500 | Tipo de frenos: De disco | Cambio trasero: Shimano SLX | Número de platos: Monoplato | Desarrollo de platos: 34T | Velocidades de cassette: 11v | Desarrollo del cassette: 11/46 | Rueda: 29"" | Horquilla: Fox 32 Performance Step Cast | Llantas: Giant XCT 29<br>Envíos a toda España a partir de 49€ | Entrega en 5 días hábiles | Garantía de 1 año | Bicicletas certificadas por taller professional | Aceptamos varios métodos de pago y financiación <br> Contáctanos a través de WhatsApp y teléfono: 621057647 | <br>TUVALUM Nº1 EN BICICLETAS REACONDICIONADAS | ...","[{'id': 17000, 'name': 'Bikes', 'icon': 'bike'}, {'id': 10056, 'name': 'Bikes & tricycles', 'icon': None}, {'id': 10214, 'name': 'MTB', 'icon': None}]",1490,EUR,False,True,https://es.wallapop.com/item/giant-anthem-2-talla-m-1091901857,Madrid
3zl8294v246x,wzynryvx8xj5,BH Atom Jet talla L,"Ebike - BH Atom Jet | Talla: L | Material: Aluminio<br>Frenos: Shimano BR-MT200 | Tipo de frenos: De disco | Cambio trasero: Shimano Acera | Batería: BH | Capacidad batería:  | Velocidades de cassette: 9v o menos | Kms:  | Rueda: 29"" | Horquilla: SR Suntour | Llantas: BH | Envíos a toda España a partir de 49€ | Entrega en 5 días hábiles | Garantía de 1 año | Bicicletas certificadas por taller professional | Aceptamos varios métodos de pago y financiación | Contáctanos a través de WhatsApp y teléfono: 621057647 | Visita todo nuestro catálogo online | Visita nuestro showroom con más de 500 bicicletas  en C/Ciutat de Barcelona, 3...","[{'id': 17000, 'name': 'Bikes', 'icon': 'bike'}, {'id': 10056, 'name': 'Bikes & tricycles', 'icon': None}, {'id': 10215, 'name': 'Electric bikes', 'icon': None}]",1190,EUR,False,True,https://es.wallapop.com/item/bh-atom-jet-talla-l-1091901721,Madrid
wzv47ywxyrzl,qzm43oy151zv,Bicicleta Cube Stereo Hybrid 140 SLX Carbono XT talla L Reacondicionada,"Financiación desde 108,97€ / mes sin intereses | Imágenes reales | Envío desde 49,99€ | Garantía 1 año | Bicicleta eléctrica de montaña doble | Cuadro Carbono | Talla L | Rueda de 29"" | Cambio: Shimano XT | 12 velocidades | Cassette: 11-50-T | Mandos de cambio: Shimano Deore | Bielas: Acid | Plato: 34-T | Frenos: Shimano XT | Ruedas: Aluminio | Horquilla: Fox 34 Rhythm con 140mm de recorrido | Amortiguador: Fox Float Performance | Potencia: Aluminio | Manillar: Aluminio | Tija: Aluminio - telescopica | Motor: Bosch PerformanceLine CX | Batería: 750Wh | 34 Kilómetros |","[{'id': 17000, 'name': 'Bikes', 'icon': 'bike'}, {'id': 10056, 'name': 'Bikes & tricycles', 'icon': None}, {'id': 10215, 'name': 'Electric bikes', 'icon': None}]",3599,EUR,False,False,https://es.wallapop.com/item/bicicleta-cube-stereo-hybrid-140-slx-carbono-xt-talla-l-reacondicionada-1091860465,Madrid
e65851dddg6o,kmzn87ep2yzn,NUEVO. Bielas Truvativ Descendant GXP Direct Mount,"NUEVO. Bielas Truvativ Descendant 6K GXP Direct Mount 175mm. Para cazoletas GXP. Largo de biela: 175mm.  Anclaje de platos Direct Mount. Compatible Boost y NO boost. Material de los brazos: Aluminio 6000. Eje integrado: GXP.  El juego de bielas Descendant utiliza un proceso de construcción  que ofrece un juego de bielas lo suficientemente ligero para XC, pero lo suficientemente audaz y rudo para Enduro. Estilo y sustancia. Muy ligeras: 551gr.

","[{'id': 17000, 'name': 'Bikes', 'icon': 'bike'}, {'id': 10058, 'name': 'Bike components & spare parts', 'icon': None}, {'id': 10224, 'name': 'Components', 'icon': None}]",80,EUR,False,True,https://es.wallapop.com/item/nuevo-bielas-truvativ-descendant-gxp-direct-mount-1080781948,Madrid
0j247y00mvzy,qzm43oy151zv,Bicicleta BH Ultimate RC Carbono talla M Reacondicionada,"Financiación desde 32,22€ / mes sin intereses | Imágenes reales |  Garantía 1 año | Bicicleta de montaña Rígida | Cuadro Carbono | Talla M | Rueda de 29"" | Cambio: Sram NX | 12 velocidades | Cassette: 11-50-T | Mandos de cambio: Sram NX | Bielas: Sram NX | Plato: 32-T | Frenos: Shimano Mt201 | Ruedas: BH Lite | Horquilla: RockShox 30 con bloqueo y 100mm de recorrido | Potencia: Aluminio | Manillar: Aluminio | Tija: Aluminio |","[{'id': 17000, 'name': 'Bikes', 'icon': 'bike'}, {'id': 10056, 'name': 'Bikes & tricycles', 'icon': None}, {'id': 10214, 'name': 'MTB', 'icon': None}]",1064,EUR,False,False,https://es.wallapop.com/item/bicicleta-bh-ultimate-rc-carbono-talla-m-reacondicionada-1091860411,Madrid
0j247y00grzy,qzm43oy151zv,Bicicleta Specialized Epic S-Works FSR Carbono XX1 AXS talla XL Reacondicionada,"Financiación desde 154,20€ / mes sin intereses | Imágenes reales |  Garantía 1 año | Bicicleta de montaña Doble | Cuadro Carbono | Talla XL | Rueda de 29"" | Cambio: Sram XX1 AXS | 12 velocidades | Cassette: 10-50-T | Mandos de cambio: Sram XX1 AXS | Bielas: Sram GX | Plato: 32-T | Frenos: Sram Level ULT | Ruedas: Roval Control de carbono | Ejes Boost | Horquilla: RockShox SiD SL Ultimate con 100mm de recorrido | Amortiguador: RockShox Specialized Brain | Potencia: Aluminio | Manillar: Carbono | Tija: Carbono |","[{'id': 17000, 'name': 'Bikes', 'icon': 'bike'}, {'id': 10056, 'name': 'Bikes & tricycles', 'icon': None}, {'id': 10214, 'name': 'MTB', 'icon': None}]",5093,EUR,False,False,https://es.wallapop.com/item/bicicleta-specialized-epic-s-works-fsr-carbono-xx1-axs-talla-xl-reacondicionada-1091860083,Madrid
xzo248yyxl69,qzm43oy151zv,Bicicleta Trek Trail 9.8 Carbono GX talla M Reacondicionada,"Financiación desde 133,49€ / mes sin intereses | Imágenes reales |  Garantía 1 año | Bicicleta eléctrica de montaña doble | Cuadro Carbono | Talla M | Rueda de 29"" | Cambio: Sram GX | 12 velocidades | Cassette: 10-50-T | Mandos de cambio: Sram GX | Bielas: Sram 1 | Plato: 34-T | Frenos: Shimano SLX | Ruedas: Bontrager Line Comp 30 | Ejes Boost | Horquilla: RockShox Lyrik Selext + con 140mm de recorrido | Amortiguador: RockShox Deluxe | Potencia: Aluminio | Manillar: Carbono | Tija: Aluminio | Motor: Bosch Performance Line CX | Batería: 625Wh | 3400 Kilómetros |","[{'id': 17000, 'name': 'Bikes', 'icon': 'bike'}, {'id': 10056, 'name': 'Bikes & tricycles', 'icon': None}, {'id': 10215, 'name': 'Electric bikes', 'icon': None}]",4409,EUR,False,False,https://es.wallapop.com/item/bicicleta-trek-trail-9-8-carbono-gx-talla-m-reacondicionada-1091860009,Madrid
8j349lqd5l69,kmzn87ep2yzn,NUEVO Triángulo Cuadro Carbono 29 Doble Suspensión,"NUEVO Trángulo principal de cuadro de fibra de carbono MSC BLAST RR 29"" Full Suspension Talla M-L. 120mm de recorrido. Para alturas de 168-190cm. Para horquillas de 120 mm a 140 mm. Peso con basculante(no incluido): 2.067gr. Compatible con desviador delantero anclaje direct mount S3HDM. Para tijas de sillín de 31.6mm de diámetro. Tubo Horizontal: 595. Vertical: 480 Ángulo de dirección: 68,5º/70º. Sillín: 73º. Pipa dirección: 95 mm. Pipa dirección cónica ZS44/56. Caja de pedalier PRESS FIT PF30 OD Ø46, Ancho caja 73. Para amortiguador de medida 190x51mm, 190x50mm. (190mm entre tornillos)
","[{'id': 17000, 'name': 'Bikes', 'icon': 'bike'}, {'id': 10058, 'name': 'Bike components & spare parts', 'icon': None}, {'id': 10224, 'name': 'Components', 'icon': None}]",70,EUR,False,True,https://es.wallapop.com/item/nuevo-triangulo-cuadro-carbono-29-doble-suspension-1079871182,Madrid
qjw4wy54r4zo,v4z4l39rnv6y,Gps Garmin Edge 540,"GPS Garmin Edge 540 totalmente nuevo a estrenar. Precio no negociable, entrego en mano... ","[{'id': 17000, 'name': 'Bikes', 'icon': 'bike'}, {'id': 10055, 'name': 'Bike accessories', 'icon': None}, {'id': 10209, 'name': 'Cycling electronics', 'icon': None}]",250,EUR,False,False,https://es.wallapop.com/item/gps-garmin-edge-540-1091767253,Madrid
